date,time,title,meeting_type,source,agenda_pdf,agenda_html,minutes_pdf,minutes_html,audio_link,video_link,mp4_download,detail_page,video_id
6/25/24,,Fort Collins City Council Work Session 6/25/24,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2473?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2473?site=1,2473.0
6/27/24,,Fort Collins Urban Renewal Authority Board Meeting 6/27/24,Urban Renewal Authority Board,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2476?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2476?site=1,2476.0
7/2/24,,Fort Collins City Council Regular Meeting 7/2/24,City Council Regular Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2479?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2479?site=1,2479.0
7/9/24,,Fort Collins City Council Work Session 7/9/24,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2484?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2484?site=1,2484.0
7/16/24,,Fort Collins City Council Regular Meeting 7/16/24,City Council Regular Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2486?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2486?site=1,2486.0
8/13/24,,Fort Collins City Council Work Session 8/13/24,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2514?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2514?site=1,2514.0
8/20/24,,Fort Collins City Council Regular Meeting 8/20/24,City Council Regular Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2518?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2518?site=1,2518.0
8/27/24,,Fort Collins City Council Work Session 8/27/24,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2525?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2525?site=1,2525.0
9/3/24,,Fort Collins City Council Regular Meeting & Work Session 9/3/24,City Council Regular Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2529?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2529?site=1,2529.0
9/10/24,,Fort Collins City Council Work Session 9/10/24,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2530?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2530?site=1,2530.0
